tf,tissue_1,tissue_2,regulon_size_tissue_1,regulon_size_tissue_2,overlap_size,overlap_coefficient,containment_t1_in_t2,containment_t2_in_t1
PGBD5,PG,cerebellum,306,72,6,0.08333333333333333,0.0196078431372549,0.08333333333333333
CAVIN1,PG,TC,81,45,8,0.17777777777777778,0.09876543209876543,0.17777777777777778
NR2F1,TC,cerebellum,39,32,1,0.03125,0.02564102564102564,0.03125
AATF,PG,STG,32,64,5,0.15625,0.15625,0.078125
FOXO4,DLPC,PCC,53,37,9,0.24324324324324326,0.16981132075471697,0.24324324324324326
FOXO4,DLPC,cerebellum,53,194,3,0.05660377358490566,0.05660377358490566,0.015463917525773196
FOXO4,PCC,cerebellum,37,194,4,0.10810810810810811,0.10810810810810811,0.020618556701030927
NOTCH3,PG,TC,36,37,4,0.1111111111111111,0.1111111111111111,0.10810810810810811
ID3,PCC,TC,31,52,3,0.0967741935483871,0.0967741935483871,0.057692307692307696
ID3,PG,TC,35,52,5,0.14285714285714285,0.14285714285714285,0.09615384615384616
FLT1,IFG,PG,40,18,6,0.3333333333333333,0.15,0.3333333333333333
FLT1,IFG,STG,40,18,10,0.5555555555555556,0.25,0.5555555555555556
FLT1,IFG,TC,40,39,17,0.4358974358974359,0.425,0.4358974358974359
FLT1,PG,STG,18,18,1,0.05555555555555555,0.05555555555555555,0.05555555555555555
FLT1,PG,TC,18,39,4,0.2222222222222222,0.2222222222222222,0.10256410256410256
FLT1,STG,TC,18,39,7,0.3888888888888889,0.3888888888888889,0.1794871794871795
ETV5,FP,TC,56,34,1,0.029411764705882353,0.017857142857142856,0.029411764705882353
HIPK2,PG,TC,61,46,7,0.15217391304347827,0.11475409836065574,0.15217391304347827
ETS1,FP,PG,30,51,5,0.16666666666666666,0.16666666666666666,0.09803921568627451
ETS1,FP,TC,30,35,1,0.03333333333333333,0.03333333333333333,0.02857142857142857
ETS1,PG,TC,51,35,2,0.05714285714285714,0.0392156862745098,0.05714285714285714
IKZF1,PG,STG,76,87,41,0.5394736842105263,0.5394736842105263,0.47126436781609193
ASH2L,IFG,cerebellum,89,149,6,0.06741573033707865,0.06741573033707865,0.040268456375838924
ZFHX3,IFG,PG,168,16,4,0.25,0.023809523809523808,0.25
NUPR1,PCC,TC,66,37,4,0.10810810810810811,0.06060606060606061,0.10810810810810811
CEBPD,PG,TC,15,32,1,0.06666666666666667,0.06666666666666667,0.03125
LEF1,PG,TC,15,47,3,0.2,0.2,0.06382978723404255
FOXF1,PCC,TC,29,25,4,0.16,0.13793103448275862,0.16
HDGF,PG,TC,64,53,4,0.07547169811320754,0.0625,0.07547169811320754
TFDP2,IFG,TC,35,31,5,0.16129032258064516,0.14285714285714285,0.16129032258064516
HEXIM1,HCN,cerebellum,60,76,2,0.03333333333333333,0.03333333333333333,0.02631578947368421
EPAS1,PG,TC,54,43,7,0.16279069767441862,0.12962962962962962,0.16279069767441862
LMO4,IFG,PG,629,67,45,0.6716417910447762,0.07154213036565978,0.6716417910447762
FLI1,IFG,PG,70,35,18,0.5142857142857142,0.2571428571428571,0.5142857142857142
FLI1,IFG,STG,70,96,30,0.42857142857142855,0.42857142857142855,0.3125
FLI1,IFG,TC,70,68,21,0.3088235294117647,0.3,0.3088235294117647
FLI1,PG,STG,35,96,19,0.5428571428571428,0.5428571428571428,0.19791666666666666
FLI1,PG,TC,35,68,13,0.37142857142857144,0.37142857142857144,0.19117647058823528
FLI1,STG,TC,96,68,28,0.4117647058823529,0.2916666666666667,0.4117647058823529
ZIC2,PG,TC,38,40,4,0.10526315789473684,0.10526315789473684,0.1
EBNA1BP2,IFG,PG,513,184,105,0.5706521739130435,0.2046783625730994,0.5706521739130435
MAP2K1,IFG,PG,545,190,105,0.5526315789473685,0.1926605504587156,0.5526315789473685
TBX3,IFG,PG,25,15,4,0.26666666666666666,0.16,0.26666666666666666
TBX3,IFG,TC,25,36,5,0.2,0.2,0.1388888888888889
TBX3,PG,TC,15,36,2,0.13333333333333333,0.13333333333333333,0.05555555555555555
ELF1,PG,STG,48,35,6,0.17142857142857143,0.125,0.17142857142857143
HDAC1,IFG,PG,68,57,5,0.08771929824561403,0.07352941176470588,0.08771929824561403
HDAC1,IFG,STG,68,61,13,0.21311475409836064,0.19117647058823528,0.21311475409836064
HDAC1,PG,STG,57,61,12,0.21052631578947367,0.21052631578947367,0.19672131147540983
BCL6,DLPC,PG,27,26,1,0.038461538461538464,0.037037037037037035,0.038461538461538464
BCL6,DLPC,STG,27,19,2,0.10526315789473684,0.07407407407407407,0.10526315789473684
BCL6,DLPC,TC,27,34,3,0.1111111111111111,0.1111111111111111,0.08823529411764706
BCL6,DLPC,cerebellum,27,42,1,0.037037037037037035,0.037037037037037035,0.023809523809523808
BCL6,PG,STG,26,19,5,0.2631578947368421,0.19230769230769232,0.2631578947368421
BCL6,PG,TC,26,34,3,0.11538461538461539,0.11538461538461539,0.08823529411764706
BCL6,STG,TC,19,34,4,0.21052631578947367,0.21052631578947367,0.11764705882352941
GLIS3,PG,TC,67,37,2,0.05405405405405406,0.029850746268656716,0.05405405405405406
STAT3,PG,TC,50,93,10,0.2,0.2,0.10752688172043011
RELA,IFG,PG,50,27,8,0.2962962962962963,0.16,0.2962962962962963
CHAF1B,PG,cerebellum,55,114,3,0.05454545454545454,0.05454545454545454,0.02631578947368421
RELB,PG,TC,20,57,2,0.1,0.1,0.03508771929824561
ASCL1,HCN,cerebellum,26,89,4,0.15384615384615385,0.15384615384615385,0.0449438202247191
NFKB2,PG,TC,22,46,3,0.13636363636363635,0.13636363636363635,0.06521739130434782
HIF3A,IFG,PG,139,75,24,0.32,0.17266187050359713,0.32
TEAD4,PCC,TC,33,42,11,0.3333333333333333,0.3333333333333333,0.2619047619047619
TFCP2,HCN,TC,34,84,8,0.23529411764705882,0.23529411764705882,0.09523809523809523
RREB1,PG,TC,131,65,11,0.16923076923076924,0.08396946564885496,0.16923076923076924
TBL1X,IFG,PG,88,58,14,0.2413793103448276,0.1590909090909091,0.2413793103448276
TBL1X,IFG,TC,88,65,8,0.12307692307692308,0.09090909090909091,0.12307692307692308
TBL1X,PG,TC,58,65,4,0.06896551724137931,0.06896551724137931,0.06153846153846154
SOX13,IFG,PG,207,56,23,0.4107142857142857,0.1111111111111111,0.4107142857142857
SVIL,PG,TC,90,47,9,0.19148936170212766,0.1,0.19148936170212766
OCA2,PG,STG,63,29,2,0.06896551724137931,0.031746031746031744,0.06896551724137931
OCA2,PG,TC,63,69,2,0.031746031746031744,0.031746031746031744,0.028985507246376812
OCA2,STG,TC,29,69,8,0.27586206896551724,0.27586206896551724,0.11594202898550725
MXI1,DLPC,PCC,34,38,12,0.35294117647058826,0.35294117647058826,0.3157894736842105
MXI1,DLPC,TC,34,38,2,0.058823529411764705,0.058823529411764705,0.05263157894736842
MXI1,DLPC,cerebellum,34,45,1,0.029411764705882353,0.029411764705882353,0.022222222222222223
MXI1,PCC,TC,38,38,4,0.10526315789473684,0.10526315789473684,0.10526315789473684
MXI1,PCC,cerebellum,38,45,2,0.05263157894736842,0.05263157894736842,0.044444444444444446
MXI1,TC,cerebellum,38,45,1,0.02631578947368421,0.02631578947368421,0.022222222222222223
PAX7,IFG,PG,118,131,33,0.2796610169491525,0.2796610169491525,0.25190839694656486
MCM7,PCC,PG,114,41,3,0.07317073170731707,0.02631578947368421,0.07317073170731707
MCM7,PCC,TC,114,55,6,0.10909090909090909,0.05263157894736842,0.10909090909090909
MCM7,PG,TC,41,55,3,0.07317073170731707,0.07317073170731707,0.05454545454545454
MAFF,DLPC,HCN,26,32,6,0.23076923076923078,0.23076923076923078,0.1875
MAFF,DLPC,PCC,26,23,10,0.43478260869565216,0.38461538461538464,0.43478260869565216
MAFF,DLPC,PG,26,29,10,0.38461538461538464,0.38461538461538464,0.3448275862068966
MAFF,DLPC,cerebellum,26,52,8,0.3076923076923077,0.3076923076923077,0.15384615384615385
MAFF,HCN,PCC,32,23,7,0.30434782608695654,0.21875,0.30434782608695654
MAFF,HCN,PG,32,29,7,0.2413793103448276,0.21875,0.2413793103448276
MAFF,HCN,cerebellum,32,52,4,0.125,0.125,0.07692307692307693
MAFF,PCC,PG,23,29,6,0.2608695652173913,0.2608695652173913,0.20689655172413793
MAFF,PCC,cerebellum,23,52,9,0.391304347826087,0.391304347826087,0.17307692307692307
MAFF,PG,cerebellum,29,52,6,0.20689655172413793,0.20689655172413793,0.11538461538461539
KAT7,PCC,TC,68,60,6,0.1,0.08823529411764706,0.1
BCL6B,IFG,PCC,18,25,5,0.2777777777777778,0.2777777777777778,0.2
ZBTB20,IFG,PG,77,70,18,0.2571428571428571,0.23376623376623376,0.2571428571428571
SP1,PG,cerebellum,23,109,1,0.043478260869565216,0.043478260869565216,0.009174311926605505
DAXX,FP,STG,25,52,3,0.12,0.12,0.057692307692307696
MYH11,IFG,PG,46,45,24,0.5333333333333333,0.5217391304347826,0.5333333333333333
SIRT2,PG,STG,79,97,19,0.24050632911392406,0.24050632911392406,0.1958762886597938
SALL2,PG,TC,36,15,1,0.06666666666666667,0.027777777777777776,0.06666666666666667
TP53BP1,FP,PG,98,233,28,0.2857142857142857,0.2857142857142857,0.12017167381974249
WWTR1,PG,TC,142,89,9,0.10112359550561797,0.06338028169014084,0.10112359550561797
SMARCC1,PG,cerebellum,105,50,3,0.06,0.02857142857142857,0.06
PRDM6,PG,TC,64,34,13,0.38235294117647056,0.203125,0.38235294117647056
RBM17,TC,cerebellum,64,42,4,0.09523809523809523,0.0625,0.09523809523809523
RUNX1,PG,STG,54,72,27,0.5,0.5,0.375
EHF,FP,PG,53,165,4,0.07547169811320754,0.07547169811320754,0.024242424242424242
SPI1,PG,STG,54,81,31,0.5740740740740741,0.5740740740740741,0.38271604938271603
ME3,PG,STG,352,197,54,0.27411167512690354,0.1534090909090909,0.27411167512690354
ME3,PG,cerebellum,352,52,3,0.057692307692307696,0.008522727272727272,0.057692307692307696
ME3,STG,cerebellum,197,52,3,0.057692307692307696,0.015228426395939087,0.057692307692307696
EGR3,IFG,PG,85,133,12,0.1411764705882353,0.1411764705882353,0.09022556390977443
JMJD6,HCN,PCC,71,35,19,0.5428571428571428,0.2676056338028169,0.5428571428571428
JMJD6,HCN,cerebellum,71,318,15,0.2112676056338028,0.2112676056338028,0.04716981132075472
JMJD6,PCC,cerebellum,35,318,9,0.2571428571428571,0.2571428571428571,0.02830188679245283
KLRG1,HCN,cerebellum,22,92,1,0.045454545454545456,0.045454545454545456,0.010869565217391304
MAL,TC,cerebellum,90,138,31,0.34444444444444444,0.34444444444444444,0.2246376811594203
RBFOX2,IFG,PG,578,389,234,0.6015424164524421,0.40484429065743943,0.6015424164524421
CREB3L2,PG,TC,42,58,2,0.047619047619047616,0.047619047619047616,0.034482758620689655
ID1,PG,TC,17,51,3,0.17647058823529413,0.17647058823529413,0.058823529411764705
EGF,PG,TC,55,30,4,0.13333333333333333,0.07272727272727272,0.13333333333333333
MSX1,PCC,TC,17,32,2,0.11764705882352941,0.11764705882352941,0.0625
YBX3,HCN,PCC,53,49,26,0.5306122448979592,0.49056603773584906,0.5306122448979592
YBX3,HCN,PG,53,36,13,0.3611111111111111,0.24528301886792453,0.3611111111111111
YBX3,HCN,cerebellum,53,58,13,0.24528301886792453,0.24528301886792453,0.22413793103448276
YBX3,PCC,PG,49,36,11,0.3055555555555556,0.22448979591836735,0.3055555555555556
YBX3,PCC,cerebellum,49,58,12,0.24489795918367346,0.24489795918367346,0.20689655172413793
YBX3,PG,cerebellum,36,58,10,0.2777777777777778,0.2777777777777778,0.1724137931034483
SCAND1,STG,cerebellum,160,99,9,0.09090909090909091,0.05625,0.09090909090909091
RFX2,IFG,PG,56,18,5,0.2777777777777778,0.08928571428571429,0.2777777777777778
RFX2,IFG,TC,56,53,7,0.1320754716981132,0.125,0.1320754716981132
RFX2,PG,TC,18,53,3,0.16666666666666666,0.16666666666666666,0.05660377358490566
NFKBIA,DLPC,PCC,20,26,6,0.3,0.3,0.23076923076923078
NFKBIA,DLPC,PG,20,30,3,0.15,0.15,0.1
NFKBIA,DLPC,STG,20,31,4,0.2,0.2,0.12903225806451613
NFKBIA,DLPC,TC,20,29,3,0.15,0.15,0.10344827586206896
NFKBIA,PCC,PG,26,30,3,0.11538461538461539,0.11538461538461539,0.1
NFKBIA,PCC,STG,26,31,3,0.11538461538461539,0.11538461538461539,0.0967741935483871
NFKBIA,PCC,TC,26,29,4,0.15384615384615385,0.15384615384615385,0.13793103448275862
NFKBIA,PG,STG,30,31,6,0.2,0.2,0.1935483870967742
NFKBIA,PG,TC,30,29,4,0.13793103448275862,0.13333333333333333,0.13793103448275862
NFKBIA,STG,TC,31,29,1,0.034482758620689655,0.03225806451612903,0.034482758620689655
STAT4,IFG,PG,159,182,38,0.2389937106918239,0.2389937106918239,0.2087912087912088
STAT4,IFG,TC,159,132,26,0.19696969696969696,0.16352201257861634,0.19696969696969696
STAT4,PG,TC,182,132,20,0.15151515151515152,0.10989010989010989,0.15151515151515152
ETV4,PCC,TC,44,34,3,0.08823529411764706,0.06818181818181818,0.08823529411764706
HDAC7,IFG,PG,428,173,89,0.5144508670520231,0.20794392523364486,0.5144508670520231
PAX6,PG,TC,20,50,3,0.15,0.15,0.06
DLX1,IFG,PG,106,115,30,0.2830188679245283,0.2830188679245283,0.2608695652173913
DLX1,IFG,TC,106,88,25,0.2840909090909091,0.2358490566037736,0.2840909090909091
DLX1,PG,TC,115,88,12,0.13636363636363635,0.10434782608695652,0.13636363636363635
FOXC1,IFG,PG,48,41,5,0.12195121951219512,0.10416666666666667,0.12195121951219512
FOXC1,IFG,TC,48,106,21,0.4375,0.4375,0.19811320754716982
FOXC1,IFG,cerebellum,48,51,10,0.20833333333333334,0.20833333333333334,0.19607843137254902
FOXC1,PG,TC,41,106,10,0.24390243902439024,0.24390243902439024,0.09433962264150944
FOXC1,PG,cerebellum,41,51,4,0.0975609756097561,0.0975609756097561,0.0784313725490196
FOXC1,TC,cerebellum,106,51,20,0.39215686274509803,0.18867924528301888,0.39215686274509803
TAF3,TC,cerebellum,49,84,8,0.16326530612244897,0.16326530612244897,0.09523809523809523
PPARA,PG,TC,72,58,10,0.1724137931034483,0.1388888888888889,0.1724137931034483
GLI1,DLPC,HCN,22,64,7,0.3181818181818182,0.3181818181818182,0.109375
GLI1,DLPC,PCC,22,18,8,0.4444444444444444,0.36363636363636365,0.4444444444444444
GLI1,DLPC,TC,22,43,7,0.3181818181818182,0.3181818181818182,0.16279069767441862
GLI1,HCN,PCC,64,18,8,0.4444444444444444,0.125,0.4444444444444444
GLI1,HCN,TC,64,43,6,0.13953488372093023,0.09375,0.13953488372093023
GLI1,PCC,TC,18,43,5,0.2777777777777778,0.2777777777777778,0.11627906976744186
IRF5,PG,STG,83,58,30,0.5172413793103449,0.3614457831325301,0.5172413793103449
IRF5,PG,cerebellum,83,72,19,0.2638888888888889,0.2289156626506024,0.2638888888888889
IRF5,STG,cerebellum,58,72,11,0.1896551724137931,0.1896551724137931,0.1527777777777778
ZNF18,TC,cerebellum,109,70,3,0.04285714285714286,0.027522935779816515,0.04285714285714286
RXRA,IFG,PG,227,72,21,0.2916666666666667,0.09251101321585903,0.2916666666666667
RXRA,IFG,TC,227,74,25,0.33783783783783783,0.11013215859030837,0.33783783783783783
RXRA,PG,TC,72,74,10,0.1388888888888889,0.1388888888888889,0.13513513513513514
IRF8,PG,TC,110,43,27,0.627906976744186,0.24545454545454545,0.627906976744186
ZNF596,TC,cerebellum,58,17,3,0.17647058823529413,0.05172413793103448,0.17647058823529413
MEF2C,IFG,PCC,555,265,177,0.6679245283018868,0.31891891891891894,0.6679245283018868
MEF2C,IFG,PG,555,269,115,0.4275092936802974,0.2072072072072072,0.4275092936802974
MEF2C,PCC,PG,265,269,70,0.2641509433962264,0.2641509433962264,0.26022304832713755
AR,IFG,PG,35,54,8,0.22857142857142856,0.22857142857142856,0.14814814814814814
ADCYAP1,DLPC,FP,110,76,25,0.32894736842105265,0.22727272727272727,0.32894736842105265
ADCYAP1,DLPC,IFG,110,89,33,0.3707865168539326,0.3,0.3707865168539326
ADCYAP1,DLPC,PCC,110,109,41,0.3761467889908257,0.37272727272727274,0.3761467889908257
ADCYAP1,DLPC,PG,110,150,23,0.20909090909090908,0.20909090909090908,0.15333333333333332
ADCYAP1,DLPC,STG,110,104,24,0.23076923076923078,0.21818181818181817,0.23076923076923078
ADCYAP1,DLPC,TC,110,202,46,0.41818181818181815,0.41818181818181815,0.22772277227722773
ADCYAP1,FP,IFG,76,89,33,0.4342105263157895,0.4342105263157895,0.3707865168539326
ADCYAP1,FP,PCC,76,109,22,0.2894736842105263,0.2894736842105263,0.2018348623853211
ADCYAP1,FP,PG,76,150,30,0.39473684210526316,0.39473684210526316,0.2
ADCYAP1,FP,STG,76,104,35,0.4605263157894737,0.4605263157894737,0.33653846153846156
ADCYAP1,FP,TC,76,202,23,0.3026315789473684,0.3026315789473684,0.11386138613861387
ADCYAP1,IFG,PCC,89,109,26,0.29213483146067415,0.29213483146067415,0.23853211009174313
ADCYAP1,IFG,PG,89,150,22,0.24719101123595505,0.24719101123595505,0.14666666666666667
ADCYAP1,IFG,STG,89,104,38,0.42696629213483145,0.42696629213483145,0.36538461538461536
ADCYAP1,IFG,TC,89,202,35,0.39325842696629215,0.39325842696629215,0.17326732673267325
ADCYAP1,PCC,PG,109,150,16,0.14678899082568808,0.14678899082568808,0.10666666666666667
ADCYAP1,PCC,STG,109,104,16,0.15384615384615385,0.14678899082568808,0.15384615384615385
ADCYAP1,PCC,TC,109,202,41,0.3761467889908257,0.3761467889908257,0.20297029702970298
ADCYAP1,PG,STG,150,104,43,0.41346153846153844,0.2866666666666667,0.41346153846153844
ADCYAP1,PG,TC,150,202,27,0.18,0.18,0.13366336633663367
ADCYAP1,STG,TC,104,202,27,0.25961538461538464,0.25961538461538464,0.13366336633663367
TEAD2,DLPC,HCN,55,31,5,0.16129032258064516,0.09090909090909091,0.16129032258064516
TEAD2,DLPC,IFG,55,27,5,0.18518518518518517,0.09090909090909091,0.18518518518518517
TEAD2,DLPC,PCC,55,83,27,0.4909090909090909,0.4909090909090909,0.3253012048192771
TEAD2,DLPC,STG,55,45,14,0.3111111111111111,0.2545454545454545,0.3111111111111111
TEAD2,DLPC,TC,55,62,8,0.14545454545454545,0.14545454545454545,0.12903225806451613
TEAD2,HCN,IFG,31,27,4,0.14814814814814814,0.12903225806451613,0.14814814814814814
TEAD2,HCN,PCC,31,83,9,0.2903225806451613,0.2903225806451613,0.10843373493975904
TEAD2,HCN,STG,31,45,5,0.16129032258064516,0.16129032258064516,0.1111111111111111
TEAD2,HCN,TC,31,62,6,0.1935483870967742,0.1935483870967742,0.0967741935483871
TEAD2,IFG,PCC,27,83,6,0.2222222222222222,0.2222222222222222,0.07228915662650602
TEAD2,IFG,STG,27,45,10,0.37037037037037035,0.37037037037037035,0.2222222222222222
TEAD2,IFG,TC,27,62,7,0.25925925925925924,0.25925925925925924,0.11290322580645161
TEAD2,PCC,STG,83,45,16,0.35555555555555557,0.1927710843373494,0.35555555555555557
TEAD2,PCC,TC,83,62,11,0.1774193548387097,0.13253012048192772,0.1774193548387097
TEAD2,STG,TC,45,62,9,0.2,0.2,0.14516129032258066
RCOR2,DLPC,cerebellum,86,44,2,0.045454545454545456,0.023255813953488372,0.045454545454545456
BHLHE41,PG,STG,56,42,13,0.30952380952380953,0.23214285714285715,0.30952380952380953
KLF15,IFG,PG,57,30,9,0.3,0.15789473684210525,0.3
KLF15,IFG,STG,57,26,11,0.4230769230769231,0.19298245614035087,0.4230769230769231
KLF15,IFG,TC,57,42,6,0.14285714285714285,0.10526315789473684,0.14285714285714285
KLF15,PG,STG,30,26,7,0.2692307692307692,0.23333333333333334,0.2692307692307692
KLF15,PG,TC,30,42,5,0.16666666666666666,0.16666666666666666,0.11904761904761904
KLF15,STG,TC,26,42,8,0.3076923076923077,0.3076923076923077,0.19047619047619047
EGR4,FP,IFG,64,33,5,0.15151515151515152,0.078125,0.15151515151515152
EGR4,FP,cerebellum,64,16,1,0.0625,0.015625,0.0625
EGR4,IFG,cerebellum,33,16,1,0.0625,0.030303030303030304,0.0625
SPDEF,HCN,TC,36,109,5,0.1388888888888889,0.1388888888888889,0.045871559633027525
EBF1,IFG,PG,27,46,6,0.2222222222222222,0.2222222222222222,0.13043478260869565
EBF1,IFG,TC,27,45,7,0.25925925925925924,0.25925925925925924,0.15555555555555556
EBF1,PG,TC,46,45,2,0.044444444444444446,0.043478260869565216,0.044444444444444446
EBF1,PG,cerebellum,46,42,1,0.023809523809523808,0.021739130434782608,0.023809523809523808
CSNK2A1,FP,TC,56,80,2,0.03571428571428571,0.03571428571428571,0.025
TGIF1,PG,STG,16,18,3,0.1875,0.1875,0.16666666666666666
TGIF1,STG,TC,18,57,2,0.1111111111111111,0.1111111111111111,0.03508771929824561
ELF4,PG,TC,21,30,2,0.09523809523809523,0.09523809523809523,0.06666666666666667
HOPX,PG,TC,75,76,6,0.08,0.08,0.07894736842105263
NFKBIZ,IFG,PG,21,142,5,0.23809523809523808,0.23809523809523808,0.035211267605633804
GUCY1B1,IFG,PG,776,472,345,0.7309322033898306,0.44458762886597936,0.7309322033898306
MECOM,IFG,PG,60,44,10,0.22727272727272727,0.16666666666666666,0.22727272727272727
MECOM,IFG,STG,60,22,7,0.3181818181818182,0.11666666666666667,0.3181818181818182
MECOM,IFG,TC,60,39,11,0.28205128205128205,0.18333333333333332,0.28205128205128205
MECOM,PG,STG,44,22,8,0.36363636363636365,0.18181818181818182,0.36363636363636365
MECOM,PG,TC,44,39,5,0.1282051282051282,0.11363636363636363,0.1282051282051282
MECOM,STG,TC,22,39,5,0.22727272727272727,0.22727272727272727,0.1282051282051282
IKBKB,IFG,PG,308,118,21,0.17796610169491525,0.06818181818181818,0.17796610169491525
IKBKB,IFG,cerebellum,308,179,7,0.03910614525139665,0.022727272727272728,0.03910614525139665
IKBKB,PG,cerebellum,118,179,7,0.059322033898305086,0.059322033898305086,0.03910614525139665
ZNF554,DLPC,cerebellum,94,38,1,0.02631578947368421,0.010638297872340425,0.02631578947368421
GATA2,FP,TC,63,58,17,0.29310344827586204,0.2698412698412698,0.29310344827586204
YAP1,IFG,PG,73,49,7,0.14285714285714285,0.0958904109589041,0.14285714285714285
YAP1,IFG,TC,73,115,18,0.2465753424657534,0.2465753424657534,0.1565217391304348
YAP1,PG,TC,49,115,10,0.20408163265306123,0.20408163265306123,0.08695652173913043
ZFP36,HCN,PG,27,28,5,0.18518518518518517,0.18518518518518517,0.17857142857142858
ZFP36,HCN,cerebellum,27,16,5,0.3125,0.18518518518518517,0.3125
ZFP36,PG,cerebellum,28,16,3,0.1875,0.10714285714285714,0.1875
PGR,PG,TC,58,45,7,0.15555555555555556,0.1206896551724138,0.15555555555555556
